t,YDIF
14.7,0.009765
14.733333,0.009765
14.766667,0.009765
14.8,0.009765
14.833333,0.009765
14.866667,0.009765
14.9,0.009765
14.933333,0.009765
14.966667,0.009765
15,0.009765
15.033333,0.009765
15.066667,0.009765
15.1,0.009765
15.133333,0.009765
15.166667,0.009765
15.2,0.009765
15.233333,0.009765
15.266667,0.009765
15.3,0.009765
15.333333,0.009765
15.366667,0.009765
15.4,0.009765
15.433333,0.009765
15.466667,0.009765
15.5,0.009765
15.533333,132.029
15.566667,0.714193
15.6,1.10148
15.633333,1.54838
15.666667,0.030635
15.7,2.11404
15.733333,3.0955
15.766667,3.66133
15.8,3.91875
15.833333,4.71207
15.866667,0.0435725
15.9,4.79545
15.933333,3.05615
15.966667,2.82882
16,5.02198
16.033333,4.84696
16.066667,0.083415
16.1,4.3845
16.133333,3.68571
16.166667,3.1964
16.2,2.4836
16.233333,1.79862
16.266667,0.04668
16.3,1.54594
16.333333,1.52566
16.366667,1.8496
16.4,1.17492
16.433333,0.993665
16.466667,0.05508
16.5,0.742215
16.533333,1.0591
16.566667,1.59134
16.6,2.6885
16.633333,3.61106
16.666667,0.0563925
16.7,4.44555
16.733333,5.31962
16.766667,4.16732
16.8,3.54991
16.833333,2.76136
16.866667,0.14101
16.9,2.14061
16.933333,3.07187
16.966667,3.45851
17,4.17596
17.033333,4.51493
17.066667,0.06303
17.1,4.44918
17.133333,3.62096
17.166667,7.6337
17.2,2.1298
17.233333,1.66028
17.266667,0.175248
17.3,1.20755
17.333333,1.04459
17.366667,1.14118
17.4,0.52873
17.433333,0.953527
17.466667,0.0533075
17.5,1.10154
17.533333,1.23944
17.566667,1.55305
17.6,1.17529
17.633333,1.11569
17.666667,0.01914
17.7,0.872152
17.733333,1.39719
17.766667,1.5164
17.8,1.13039
17.833333,0.81561
17.866667,0.0539675
17.9,1.74758
17.933333,2.4909
17.966667,3.25797
18,4.18715
18.033333,5.07121
18.066667,0.057085
18.1,5.11709
18.133333,4.65523
18.166667,4.5016
18.2,3.79763
18.233333,4.20452
18.266667,0.016755
18.3,4.9939
18.333333,5.39306
18.366667,4.94946
18.4,4.75591
18.433333,4.17024
18.466667,0.014675
18.5,3.05651
18.533333,2.3925
18.566667,61.3777
18.6,0.0009525
18.633333,0.20529
18.666667,0.141393
18.7,0.110482
18.733333,0.517617
18.766667,0.0800075
18.8,0.05518
18.833333,0.037045
18.866667,0.07055
18.9,0.0378
18.933333,1.62299
18.966667,0.178615
19,0.0061375
19.033333,0.18269
19.066667,0.27471
19.1,0.079845
19.133333,0.08066
19.166667,0.0675875
19.2,0.003925
19.233333,0.0701125
19.266667,0.0417
19.3,0.05592
19.333333,0.07038
19.366667,0.268053
19.4,0.0045525
19.433333,1.11389
19.466667,0.705638
19.5,0.14974
19.533333,0.32209
19.566667,0.649325
19.6,0.0241575
19.633333,0.410152
19.666667,0.0887425
19.7,0.11605
19.733333,0.32993
19.766667,0.106328
19.8,0.004085
19.833333,0.15629
19.866667,0.144577
19.9,0.130655
19.933333,1.85214
19.966667,0.255663
20,0.005515
20.033333,0.444912
20.066667,0.171955
20.1,0.10864
20.133333,0.341
20.166667,1.85052
20.2,0.01329
20.233333,0.06401
20.266667,0.421407
20.3,1.00059
20.333333,0.087225
20.366667,0.12277
20.4,0.004175
20.433333,0.077715
20.466667,0.186592
20.5,2.02821
20.533333,0.344932
20.566667,0.200393
20.6,0.0067025
20.633333,0.108948
20.666667,0.388348
20.7,0.26561
20.733333,0.169917
20.766667,0.990343
20.8,0.0090125
20.833333,0.247358
20.866667,0.0777225
20.9,5.25943
20.933333,0.0656575
20.966667,0.276085
21,0.00276
21.033333,0.380418
21.066667,0.113628
21.1,0.0791575
21.133333,1.83761
21.166667,0.22163
21.2,0.0051475
21.233333,1.11823
21.266667,0.3558
21.3,0.152935
21.333333,0.16954
21.366667,0.160623
21.4,0.0044725
21.433333,0.374308
21.466667,0.362762
21.5,0.12895
21.533333,2.62312
21.566667,0.27814
21.6,0.0056725
21.633333,0.37321
21.666667,0.149935
21.7,0.41728
21.733333,0.156257
21.766667,0.167125
21.8,0.003785
21.833333,0.174193
21.866667,0.278738
21.9,0.274975
21.933333,0.760005
21.966667,1.09372
22,0.0117975
22.033333,2.67375
22.066667,0.383873
22.1,0.302503
22.133333,0.310075
22.166667,0.69093
22.2,0.008285
22.233333,0.570178
22.266667,0.33141
22.3,0.599453
22.333333,0.444018
22.366667,0.633478
22.4,0.005845
22.433333,0.761132
22.466667,0.364727
22.5,0.344027
22.533333,0.324603
22.566667,1.37871
22.6,0.01598
22.633333,1.93058
22.666667,0.64079
22.7,1.26616
22.733333,0.46881
22.766667,0.624677
22.8,0.0105675
22.833333,0.558315
22.866667,0.32687
22.9,0.568782
22.933333,0.538735
22.966667,0.606143
23,0.009535
23.033333,2.04712
23.066667,1.15249
23.1,0.312755
23.133333,0.638813
23.166667,106.382
23.2,13.4339
23.233333,0.01478
23.266667,8.01032
23.3,5.82489
23.333333,0.0605975
23.366667,0.0170525
23.4,15.6204
23.433333,2.85752
23.466667,5.20786
23.5,0.0079725
23.533333,9.6173
23.566667,0.0090725
23.6,4.38787
23.633333,7.96355
23.666667,0.0014975
23.7,0.0204725
23.733333,2.73265
23.766667,5.54813
23.8,0.01613
23.833333,0.0018275
23.866667,0.0221425
23.9,0.978747
23.933333,17.3389
23.966667,7.86695
24,0.115447
24.033333,6.2709
24.066667,0.0205725
24.1,8.14745
24.133333,13.1645
24.166667,0.00203
24.2,0.0282525
24.233333,7.67375
24.266667,3.75325
24.3,7.88849
24.333333,0.008135
24.366667,0.008335
24.4,0.009285
24.433333,7.18371
24.466667,9.37245
24.5,0.0130525
24.533333,7.2082
24.566667,0.05353
24.6,13.6535
24.633333,0.037955
24.666667,0.00401
24.7,0.03238
24.733333,6.30437
24.766667,0.00997
24.8,0.0099825
24.833333,0.0035625
24.866667,4.25237
24.9,6.93815
24.933333,0.0059525
24.966667,0.02325
25,0.0034875
25.033333,0.969755
25.066667,0.009105
25.1,0.0079675
25.133333,0.007255
25.166667,0.00306
25.2,18.8104
25.233333,0.969235
25.266667,0.0189325
25.3,14.8106
25.333333,0.00998
25.366667,0.0113225
25.4,6.07669
25.433333,8.695
25.466667,0.0120675
25.5,0.0208575
25.533333,0.013535
25.566667,0.0142
25.6,0.0091
25.633333,7.18101
25.666667,0.0066075
25.7,0.01045
25.733333,10.0108
25.766667,0.0178225
